0.0,1.95
0.02,1.89
0.04,1.85
0.06,1.81
0.08,1.76
0.1,1.73
0.12,1.7
0.14,1.67
0.16,1.65
0.18,1.63
0.2,1.62
0.22,1.6
0.24,1.59
0.25,1.59
0.27,1.59
0.29,1.58
0.31,1.57
0.33,1.56
0.35,1.55
0.37,1.53
0.39,1.52
0.41,1.5
0.43,1.49
0.45,1.46
0.47,1.44
0.49,1.42
0.51,1.4
0.53,1.39
0.55,1.39
0.57,1.38
0.59,1.38
0.61,1.38
0.63,1.39
0.65,1.4
0.67,1.41
0.69,1.41
0.71,1.41
0.73,1.41
0.75,1.41
0.76,1.4
0.78,1.39
0.8,1.38
0.82,1.37
0.84,1.35
0.86,1.33
0.88,1.32
0.9,1.32
0.92,1.31
0.94,1.31
0.96,1.31
0.98,1.32
1.0,1.32
1.02,1.33
1.04,1.35
1.06,1.36
1.08,1.37
1.1,1.37
1.12,1.37
1.14,1.37
1.16,1.36
1.18,1.36
1.2,1.35
1.22,1.34
1.24,1.32
1.25,1.31
1.27,1.3
1.29,1.3
1.31,1.3
1.33,1.3
1.35,1.3
1.37,1.31
1.39,1.31
1.41,1.33
1.43,1.34
1.45,1.35
1.47,1.36
1.49,1.36
1.51,1.37
1.53,1.36
1.55,1.36
1.57,1.35
1.59,1.34
1.61,1.33
1.63,1.31
1.65,1.3
1.67,1.3
1.69,1.3
1.71,1.3
1.73,1.3
1.75,1.3
1.76,1.31
1.78,1.31
1.8,1.33
1.82,1.34
1.84,1.36
1.86,1.36
1.88,1.37
1.9,1.37
1.92,1.36
1.94,1.36
1.96,1.35
1.98,1.34
2.0,1.33
2.02,1.31
2.04,1.3
2.06,1.3
2.08,1.3
2.1,1.3
2.12,1.3
2.14,1.3
2.16,1.31
2.18,1.32
2.2,1.33
2.22,1.35
2.24,1.36
2.25,1.36
2.27,1.37
2.29,1.36
2.31,1.36
2.33,1.35
2.35,1.35
2.37,1.34
2.39,1.32
2.41,1.31
2.43,1.3
2.45,1.3
2.47,1.3
2.49,1.3
2.51,1.31
2.53,1.31
2.55,1.32
2.57,1.32
2.59,1.34
2.61,1.35
2.63,1.36
2.65,1.36
2.67,1.37
2.69,1.36
2.71,1.36
2.73,1.35
2.75,1.34
2.76,1.33
2.78,1.32
2.8,1.31
2.82,1.3
2.84,1.3
2.86,1.29
2.88,1.3
2.9,1.3
2.92,1.3
2.94,1.31
2.96,1.32
2.98,1.34
3.0,1.35
3.02,1.36
3.04,1.36
3.06,1.36
3.08,1.36
3.1,1.36
3.12,1.35
3.14,1.34
3.16,1.33
3.18,1.32
3.2,1.3
3.22,1.3
3.24,1.29
3.25,1.29
3.27,1.3
3.29,1.3
3.31,1.3
3.33,1.31
3.35,1.33
3.37,1.34
3.39,1.35
3.41,1.36
3.43,1.36
3.45,1.36
3.47,1.36
3.49,1.35
3.51,1.35
3.53,1.34
3.55,1.32
3.57,1.31
3.59,1.3
3.61,1.3
3.63,1.29
3.65,1.29
3.67,1.3
3.69,1.3
3.71,1.31
3.73,1.31
3.75,1.33
3.76,1.34
3.78,1.35
3.8,1.36
3.82,1.36
3.84,1.36
3.86,1.36
3.88,1.35
3.9,1.34
3.92,1.34
3.94,1.32
3.96,1.31
3.98,1.3
4.0,1.29
4.02,1.29
4.04,1.29
4.06,1.3
4.08,1.3
4.1,1.31
4.12,1.32
4.14,1.33
4.16,1.35
4.18,1.36
4.2,1.36
4.22,1.36
4.24,1.36
4.25,1.36
4.27,1.35
4.29,1.35
4.31,1.34
4.33,1.32
4.35,1.31
4.37,1.3
4.39,1.3
4.41,1.29
4.43,1.3
4.45,1.3
4.47,1.3
4.49,1.31
4.51,1.32
4.53,1.34
4.55,1.35
4.57,1.36
4.59,1.36
4.61,1.36
4.63,1.36
4.65,1.35
4.67,1.34
4.69,1.34
4.71,1.33
4.73,1.31
4.75,1.3
4.76,1.3
4.78,1.29
4.8,1.29
4.82,1.3
4.84,1.3
4.86,1.31
4.88,1.31
4.9,1.33
4.92,1.34
4.94,1.35
4.96,1.36
4.98,1.36
5.0,1.36
